day,event_count,goldsteinscale_mean,goldsteinscale_min,avgtone_mean,numarticles_sum,numsources_sum,dominant_sentiment,dominant_quadclass,event_volatility_7d,tone_ma_7d
2025-01-01,62,0.052,-10.0,-3.207,266,62,Très négatif,Coopération verbale,,-3.207
2025-01-02,58,-0.829,-10.0,-5.439,371,59,Très négatif,Coopération verbale,2.828,-4.323
2025-01-03,79,1.239,-10.0,-1.138,430,80,Négatif,Coopération verbale,11.15,-3.261
2025-01-04,22,1.959,-5.0,0.593,93,22,Négatif,Coopération verbale,23.964,-2.298
2025-01-05,33,2.158,0.0,3.646,135,33,Très positif,Coopération verbale,23.015,-1.109
2025-01-06,51,1.767,-9.5,-0.591,333,51,Négatif,Coopération verbale,20.586,-1.023
2025-01-07,76,1.121,-10.0,-1.152,435,76,Négatif,Coopération verbale,21.062,-1.041
2025-01-08,96,1.235,-10.0,0.129,513,96,Positif,Coopération verbale,26.355,-0.565
2025-01-09,109,0.343,-10.0,-1.68,765,111,Négatif,Coopération verbale,32.315,-0.028
2025-01-10,176,-1.053,-10.0,-4.012,1104,176,Très négatif,Coopération verbale,52.823,-0.438
2025-01-11,81,0.323,-10.0,-1.359,421,81,Négatif,Coopération verbale,46.244,-0.717
2025-01-12,96,-0.475,-10.0,-2.783,600,96,Négatif,Coopération verbale,39.147,-1.635
2025-01-13,61,-0.238,-10.0,-2.542,405,61,Négatif,Coopération verbale,37.29,-1.914
Day,event_count,GoldsteinScale,AvgTone,NumArticles,event_volatility_7d
2026-04-30,41,0.5536585365853658,0.8823780061766866,288,
2026-05-01,27,-0.7111111111111112,-0.7124929645181015,127,
