GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1218465649,20250101,202501,2025,2025.0027,GOV,GOVERNOR,,,,,,GOV,,,BEN,BENIN,BEN,,,,,,,,0,110,110,11,3,-2.0,1,1,1,3.21637426900585,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101214500,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465648,20250101,202501,2025,2025.0027,GOV,GOVERNOR,,,,,,GOV,,,BEN,BENIN,BEN,,,,,,,,0,051,051,05,1,3.4,2,1,2,3.21637426900585,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101214500,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218466353,20250101,202501,2025,2025.0027,BEN,BENIN,BEN,,,,,,,,NER,NIGER,NER,,,,,,,,0,057,057,05,1,8.0,2,1,2,-7.90123456790123,1,Niger,NG,NG,,16.0,8.0,NG,1,Niger,NG,NG,,16.0,8.0,NG,1,Benin,BN,BN,,9.5,2.25,BN,20250101220000,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218465944,20250101,202501,2025,2025.0027,kam,KAMBA,,,kam,,,,,,BEN,BENIN,BEN,,,,,,,,1,043,043,04,1,2.8,1,1,1,3.21637426900585,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101214500,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218466346,20250101,202501,2025,2025.0027,BEN,BENIN,BEN,,,,,,,,NER,NIGER,NER,,,,,,,,0,010,010,01,1,0.0,1,1,1,-7.90123456790123,1,Niger,NG,NG,,16.0,8.0,NG,1,Niger,NG,NG,,16.0,8.0,NG,1,Benin,BN,BN,,9.5,2.25,BN,20250101220000,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
1218465496,20250101,202501,2025,2025.0027,BENGOV,BENIN,BEN,,,,,GOV,,,GOV,ADMINISTRATION,,,,,,GOV,,,0,111,111,11,3,-2.0,1,1,1,3.21637426900585,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101214500,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218458164,20250101,202501,2025,2025.0027,GOV,DIPLOMAT,,,,,,GOV,,,,,,,,,,,,,1,040,040,04,1,1.0,3,1,3,-7.84313725490196,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250101194500,https://www.thecable.ng/benin-republic-summons-nigerien-envoy-over-terrorism-allegations/
1218380721,20250101,202501,2025,2025.0027,MED,SPOKESMAN,,,,,,MED,,,,,,,,,,,,,1,010,010,01,1,0.0,10,1,10,-5.30503978779841,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250101023000,https://quicknews-africa.net/police-nab-suspected-kidnapper-in-delta-recover-ammunition-cash/
1218465650,20250101,202501,2025,2025.0027,GOV,GOVERNOR,,,,,,GOV,,,BEN,BENIN,BEN,,,,,,,,0,111,111,11,3,-2.0,1,1,1,3.21637426900585,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250101214500,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
1218465493,20250101,202501,2025,2025.0027,BENGOV,BENIN,BEN,,,,,GOV,,,,,,,,,,,,,0,051,051,05,1,3.4,1,1,1,3.21637426900585,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250101214500,https://dailypost.ng/2025/01/01/kebbi-state-secures-release-of-12-indigenes-detained-in-benin-republic/
