GLOBALEVENTID,SQLDATE,SOURCEURL,text
1281840428,2025-01-02,https://punchng.com/obasekis-ally-house-burnt-in-edo/,"# Obaseki’s ally house burnt in Edo 

January 2, 2026 1:22 am 

Former Governor of Edo State, Godwin Obaseki

By Adeyinka Adedipe

Kindly share this story:

 * 
 * 
 * [](://punchng.com/obasekis-ally-house-burnt-in-edo/)
 * [](://punchng.com/obasekis-ally-house-burnt-in-edo/)
 * [](://punchng.com/obasekis-ally-house-burnt-in-edo/)
 * [](://punchng.com/obasekis-ally-house-burnt-in-edo/&text=Obaseki’s ally house burnt in Edo)

**Getting yourTrinity Audio player ready...**

United Kingdom-based supporter of former Governor Godwin Obaseki of Edo State, Albert Obazee, has lamented a fire outbreak that gutted his house in Amagba, Benin City, alleging it was arson by agents of the state government. 

According to Obazee, the fire happened during New Year’s crossover night on Wednesday. 

Speaking during a Facebook live stream on Thursday, Obazee described the alleged attackers as “children of hate and anger who cannot build but only destroy.” 

He added that he would not be intimidated and would continue to speak on issues as they arose, despite suggestions that he should take a lower profile.

In a phone call received during the live stream, a caller who stayed in the house said the CCTV cameras could not capture the faces of the arsonists because they attacked from a blind spot. 

The caller explained that they acted quickly to extinguish the fire, preventing total destruction of the building. 

Obazee said, “I am sure the thugs who came are loyal to the state government."
1283198067,2025-01-10,https://www.abc.com.py/internacionales/2026/01/10/benin-celebrara-elecciones-legislativas-y-municipales-entre-tension-politica-y-seguridad/,"Las votaciones tendrán lugar apenas un mes después de que una intentona golpista protagonizada por militares amotinados sacudiera el país el pasado 7 de diciembre, aunque el levantamiento fue sofocado en cuestión de horas por las fuerzas armadas beninesas, con apoyo de Nigeria.

El bloque gobernante del presidente Patrice Talon parte como claro favorito para consolidar el control del Parlamento unicameral. 

La coalición presidencial, integrada por tres partidos, domina actualmente 81 de los 109 escaños de la Asamblea Nacional y podría ampliar esa mayoría tras los comicios.

La principal fuerza opositora, el partido Los Demócratas, concurrirá a las elecciones legislativas, pero ha sido excluida de los comicios municipales y también de la carrera presidencial por no haber logrado reunir el número mínimo de firmas de patrocinio exigido por la ley electoral.

La oposición podría perder buena parte de sus 28 bancas ganadas en 2023 debido a la normativa vigente, que exige a los partidos obtener el respaldo de al menos el 20 % de los votantes inscritos en cada una de las 24 circunscripciones del país para acceder al reparto de escaños.

Unite al canal de ABC en WhatsApp

Los comicios se celebran en un momento delicado para el país, gobernado por Talon, de 67 años, desde 2016, ya que pese a un periodo de crecimiento económico, sus detractores le acusan de endurecer las restricciones contra la oposición política y de recortar libertades civiles.

La seguridad también figura entre las principales preocupaciones del electorado, ya que el norte de Benín ha sufrido ataques en los últimos años por parte de grupos yihadistas vinculados a Al Qaeda procedentes de Burkina Faso y Níger, lo que ha provocado desplazamientos internos.

Según las Fuerzas Armadas de Benín (FAB) entre octubre y diciembre pasado neutralizaron a unos 45 presuntos terroristas, un número inferior a las bajas sufridas en abril de 2025, cuando al menos 54"
1290366412,2025-02-21,https://www.premiumtimesng.com/regional/south-south-regional/858679-edo-demolishes-building-linked-to-alleged-cult-members.html,"[](-news/877191-police-arrest-six-suspected-kidnappers-rescue-victims-in-kaduna.html)

### Police arrest six suspected kidnappers, rescue victims in Kaduna

__May 5, 2026"
1285645948,2025-01-24,https://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/,"# Senator decries poor state of fistula centre in Edo 

January 24, 2026 9:37 am 

By Adeyinka Adedipe

Kindly share this story:

 * 
 * 
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/&text=Senator decries poor state of fistula centre in Edo)

**Getting yourTrinity Audio player ready...**

Senator representing Edo South, Neda Imasuen, has expressed dissatisfaction over the poor state of facilities at the temporary site of the National Obstetrics Fistula Centre in Ugbor, Benin. 

In a statement on Saturday by his media aide, Moshood Karim, Imasuen also condemned the slow pace of development at the permanent site. He noted that urgent federal intervention is needed to rescue the institution. 

The lawmaker, who is also a member of the Senate Committee on Health, visited the centre on Friday as part of the committee’s oversight function to assess progress since the establishment of the hospital and the signing of a Memorandum of Understanding between the Federal and State governments last year. 

Imasuen said that what he found at the centre fell short of expectations for a specialised national health institution dedicated to treating obstetric fistu"
1285645959,2025-01-24,https://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/,"# Senator decries poor state of fistula centre in Edo 

January 24, 2026 9:37 am 

By Adeyinka Adedipe

Kindly share this story:

 * 
 * 
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/&text=Senator decries poor state of fistula centre in Edo)

**Getting yourTrinity Audio player ready...**

Senator representing Edo South, Neda Imasuen, has expressed dissatisfaction over the poor state of facilities at the temporary site of the National Obstetrics Fistula Centre in Ugbor, Benin. 

In a statement on Saturday by his media aide, Moshood Karim, Imasuen also condemned the slow pace of development at the permanent site. He noted that urgent federal intervention is needed to rescue the institution. 

The lawmaker, who is also a member of the Senate Committee on Health, visited the centre on Friday as part of the committee’s oversight function to assess progress since the establishment of the hospital and the signing of a Memorandum of Understanding between the Federal and State governments last year. 

Imasuen said that what he found at the centre fell short of expectations for a specialised national health institution dedicated to treating obstetric fistu"
1285645960,2025-01-24,https://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/,"# Senator decries poor state of fistula centre in Edo 

January 24, 2026 9:37 am 

By Adeyinka Adedipe

Kindly share this story:

 * 
 * 
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/)
 * [](://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/&text=Senator decries poor state of fistula centre in Edo)

**Getting yourTrinity Audio player ready...**

Senator representing Edo South, Neda Imasuen, has expressed dissatisfaction over the poor state of facilities at the temporary site of the National Obstetrics Fistula Centre in Ugbor, Benin. 

In a statement on Saturday by his media aide, Moshood Karim, Imasuen also condemned the slow pace of development at the permanent site. He noted that urgent federal intervention is needed to rescue the institution. 

The lawmaker, who is also a member of the Senate Committee on Health, visited the centre on Friday as part of the committee’s oversight function to assess progress since the establishment of the hospital and the signing of a Memorandum of Understanding between the Federal and State governments last year. 

Imasuen said that what he found at the centre fell short of expectations for a specialised national health institution dedicated to treating obstetric fistu"
1296348351,2025-03-27,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140,"Where Switzerland gets its oil and gas 

 Read more: Where Switzerland gets its oil and gas"
1296334338,2025-03-27,https://dailypost.ng/2026/03/27/nigerian-newspapers-10-things-you-need-to-know-friday-morning-121/,"Good morning! Here is today’s summary from Nigerian Newspapers:

1\. President Bola Tinubu and members of his cabinet, as well as 32 state governors and 8,453 delegates from across the country, are expected to participate in the National Convention of the All Progressives Congress scheduled for Friday (today) and Saturday in Abuja. In addition, top party chieftains from the national, zonal, state and ward levels will also grace the convention, where new leaders of the party will emerge.

2\. Brigadier General Lawal Bature Mohammed (rtd), former Commander of Zamfara Community Protection Guards (CPG), is dead. Popularly known as Dan Gusau, the late Brigadier General suffered Bandits bullet wounds during an attack by bandits last year.

3\. A former National Commissioner of the Independent National Electoral Commission, Mike Igini, on Thursday, described the proposed 2026 Electoral Act as the worst in Nigeria’s history. Igini said it was urgent to address what he termed the “tragedy” associated with the Act before the 2027 general elections, warning that it appears Nigerians may not be allowed to determine who governs them if the current issues persist.

5\. Hafsat Yusuf, the woman who gave birth to quintuplets at Murtala Muhammad Specialist Hospital, Kano, on Wednesday, has passed away. Her husband, Salisu Nafiu, confirmed the development on Thursday morning, stating that she passed away at the hospital around 1:00 a.m.

6\. Factional PDP National Chairman, Kabiru Tanimu Turaki, has confirmed that he has appealed the bench warrant issued for his arrest by a High Court of the Federal Capital Territory following his absence at a scheduled court hearing. The bench warrant, issued by Justice Peter Kekemeke, was prompted by Turaki’s failure to appear in court over a one-count charge of allegedly giving false information to the Inspector-General of Police in a petition he wrote in 2022.

7\. The Chairman of the Independent National Electoral Commiss"
1296334341,2025-03-27,https://dailypost.ng/2026/03/27/nigerian-newspapers-10-things-you-need-to-know-friday-morning-121/,"Good morning! Here is today’s summary from Nigerian Newspapers:

1\. President Bola Tinubu and members of his cabinet, as well as 32 state governors and 8,453 delegates from across the country, are expected to participate in the National Convention of the All Progressives Congress scheduled for Friday (today) and Saturday in Abuja. In addition, top party chieftains from the national, zonal, state and ward levels will also grace the convention, where new leaders of the party will emerge.

2\. Brigadier General Lawal Bature Mohammed (rtd), former Commander of Zamfara Community Protection Guards (CPG), is dead. Popularly known as Dan Gusau, the late Brigadier General suffered Bandits bullet wounds during an attack by bandits last year.

3\. A former National Commissioner of the Independent National Electoral Commission, Mike Igini, on Thursday, described the proposed 2026 Electoral Act as the worst in Nigeria’s history. Igini said it was urgent to address what he termed the “tragedy” associated with the Act before the 2027 general elections, warning that it appears Nigerians may not be allowed to determine who governs them if the current issues persist.

5\. Hafsat Yusuf, the woman who gave birth to quintuplets at Murtala Muhammad Specialist Hospital, Kano, on Wednesday, has passed away. Her husband, Salisu Nafiu, confirmed the development on Thursday morning, stating that she passed away at the hospital around 1:00 a.m.

6\. Factional PDP National Chairman, Kabiru Tanimu Turaki, has confirmed that he has appealed the bench warrant issued for his arrest by a High Court of the Federal Capital Territory following his absence at a scheduled court hearing. The bench warrant, issued by Justice Peter Kekemeke, was prompted by Turaki’s failure to appear in court over a one-count charge of allegedly giving false information to the Inspector-General of Police in a petition he wrote in 2022.

7\. The Chairman of the Independent National Electoral Commiss"
1296348347,2025-03-27,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140,"Where Switzerland gets its oil and gas 

 Read more: Where Switzerland gets its oil and gas"
