Topic,Words,Frequency,Timestamp
1,"hosts, receives, anthony, photos, tinubu",1,2025-01-01
21,"republic, benin republic, governor, release, idris",21,2025-01-01
25,"niger, allegations, diplomat, terrorism, summons",4,2025-01-01
40,"niger, ministry, summoned, accusations, foreign",16,2025-01-01
17,"burnt, house, edo, obaseki, state",2,2025-01-02
25,"niger, allegations, diplomat, summons, terrorism",6,2025-01-02
-1,"le, mouvement, ma, faso, veille",2,2025-01-05
0,"gaps, bridge, phc, bank, basic",2,2025-01-05
1,"20, kemi seba, kemi, africa, seba",4,2025-01-05
2,"councillors, ighodalo, lgas, visit, lga",9,2025-01-05
14,"afrique, russie, ong, jpg, en marge",1,2025-01-05
0,"gaps, bridge, phc, bank, basic",4,2025-01-08
21,"republic, benin republic, release, pastor, ojukwu",4,2025-01-08
-1,"el, por, los, las, al",1,2025-01-10
-1,"macron, external, page, link, share",2,2025-01-11
5,"supporters, obaseki, state, edo, edo people",3,2025-01-11
15,"line, transmission, collapse, misinformation, generation",1,2025-01-11
-1,"ecowas, expresses, solidarity, deadly attacks, condemns",27,2025-01-12
0,"gaps, bridge, phc, bank, basic",2,2025-01-12
2,"2f, holds, 3a, 2fblueprint ng, 2f 2fblueprint",2,2025-01-12
5,"yoruba, anani, okpella, edo state, state",5,2025-01-12
6,"colonial, powers, artefacts, countries origin, countries",1,2025-01-12
8,"le, les, la, avec, et",6,2025-01-12
9,"mrs, minor, boy, mother, deposited",4,2025-01-12
12,"attaque, attack, javascript, document, strongly",8,2025-01-12
26,"qatar, killed, al, uae, beninese",6,2025-01-12
27,"site, politics, 2026, news, gomina",13,2025-01-12
29,"vodun, le, les, et, vodun days",1,2025-01-12
31,"para, os, da, bruno, africano",3,2025-01-12
37,"france, french, military, ivory coast, ivory",1,2025-01-12
41,"ouidah, women, vodun, festival, vodun days",3,2025-01-12
-1,"ecowas, commission, states, west, terrorism",7,2025-01-13
12,"attack, uae, news, share, killed",8,2025-01-13
20,"le, __, la, les, et",3,2025-01-13
26,"morts, presse, bissau, agence, dimanche",1,2025-01-13
-1,"da, para, brasil, lee, 05",1,2025-01-14
-1,"efcc, la, police républicaine, la police, républicaine",12,2025-01-18
1,"editorial, terrorists, society, skip, edit",2,2025-01-18
2,"2f, invasion, tells, order, pdp",2,2025-01-18
7,"tribunal, ighodalo, polling, counsel, inec",5,2025-01-18
10,"suspects, arrested, said suspects, suspects arrested, internet",1,2025-01-18
16,"mental, executive, barriers, react, order",1,2025-01-18
17,"secretariat, pdp, aziegbemi, edo, says",7,2025-01-18
41,"festival, vodun, ouidah, __, annual",11,2025-01-18
-1,"durable, des, développement, est, et",2,2025-01-19
1,"של, על, את, כי, בית",2,2025-01-19
10,"driver, robbers, delta, killing, arrested",1,2025-01-19
14,"le, que, les, une, wilfried léandre",2,2025-01-19
35,"arrondissement, orou, chef, deux, leur",1,2025-01-19
-1,"professor, university, scholar, knowledge, studies",6,2025-01-20
1,"milliards fcfa, economie, fcfa, la, uemoa",1,2025-01-20
4,"efcc, investigators, internet, commission, officers",1,2025-01-20
14,"le, que, la, il, du",2,2025-01-20
18,"la, le, des, et, procès",7,2025-01-20
24,"des, qui, en, du, le",1,2025-01-20
17,"centre, senator, poor, permanent, imasuen",3,2025-01-24
20,"les, le, la, forces, armées",3,2025-01-25
-1,"officially, year, 25, london, year old",1,2025-01-26
4,"executive, suspended, musa, ahmed, okpebholo",1,2025-01-26
5,"ceremonies, benin, marriage, oba benin, oba",1,2025-01-26
13,"indonesia, artifacts, returned, objects, return",2,2025-01-26
37,"french, france, military, ivory coast, ivory",9,2025-01-26
-1,"smuggled, records, customs, weeks, intercepts",1,2025-02-03
-1,"bloc, ecowas, tom, pdp, tenebe",3,2025-02-09
4,"pdp, state, tom, council, edo state",1,2025-02-09
5,"oba, funeral, rites, oba benin, ceremony",1,2025-02-09
8,"afrique, la, guinée, des, du",2,2025-02-09
9,"police, kelly, burial, live cartridges, suspect",7,2025-02-09
10,"police, yamu, operatives, february 2025, command",7,2025-02-09
13,"el, los, del, dahomey, la",7,2025-02-09
20,"navy, badagry, trafficking, smuggling, human",3,2025-02-09
22,"victim, police, abductors, kidnapped, police rescue",9,2025-02-09
-1,"advertisement, advertisement advertisement, 05, start, 2026",16,2025-02-10
3,"santé, des, sécurité des, patients, la santé",1,2025-02-10
4,"parti, les, dossou, nous, nos",1,2025-02-10
7,"tribunal, gov, claim, deputy, says",2,2025-02-10
8,"et, numérique, les, la, des",1,2025-02-10
10,"yamu, police, command, allegedly, recovered",4,2025-02-10
11,"cohesion, regional, ibrahim, economic, social",3,2025-02-10
12,"oyebanji, ekiti, warns, violence, election",1,2025-02-10
13,"dahomey, documentary, artifacts, __ __, museum",14,2025-02-10
15,"100, electricity, days, supply, power",2,2025-02-10
16,"une, en, cotonou, le, et",2,2025-02-10
18,"la, la cour, cour, et, du",3,2025-02-10
22,"abductors, victim, police, com police, edo punchng",10,2025-02-10
24,"companies, indian, data, build, centre",4,2025-02-10
39,"prison, robbery, correctional, facility, authorities",2,2025-02-10
-1,"assures, end, soon, sector, 2f",4,2025-02-11
4,"parti, une, opposition, la, mairie",2,2025-02-11
16,"une, en, cotonou, et, le",2,2025-02-11
25,"pipeline, gas, maintenance, operation, niger",1,2025-02-11
-1,"arrest suspected, rescue victims, kaduna, kidnappers rescue, victims",2,2025-02-15
1,"visa, african, africa, airlines, african union",1,2025-02-15
41,"arts, février, une, festival, est",1,2025-02-15
-1,"seven, kidnappers rescue, suspected kidnappers, ondo, rescue",14,2025-02-16
4,"zonal, suspended, illegal, secretary, decision",3,2025-02-16
10,"guns, auchi road, benin auchi, auchi, suspects",4,2025-02-16
19,"murtala, garo, kano deputy, deputy governor, kano",11,2025-02-16
24,"missing, firearms, auditor general, auditor, egbetokun",5,2025-02-16
25,"journalists, missing, questions, firearms, niger",3,2025-02-16
32,"upheld, gombe, option, consensus, guber",14,2025-02-16
-1,"arrest suspected, rescue victims, kaduna, kidnappers rescue, victims",1,2025-02-21
12,"violence, obi, clearance, state, attack",2,2025-02-25
35,"news, adc, obi, nigeria news, news nigeria",1,2025-02-26
-1,"efcc, agent, started, raid, couple",2,2025-03-01
1,"economie, les, actu, tourisme, le",1,2025-03-01
2,"attack, 20edo, linkname, 2f linkname, 2f",7,2025-03-01
31,"ransom, n1, payment, abducted, member",8,2025-03-01
39,"été, le, allafrica, mois, mandat",1,2025-03-01
16,"details, la, cotonou, sofitel, une",1,2025-03-04
15,"nigeria, jihadist, border, cooperation, niger",1,2025-03-07
-1,"advertisement, turji, large, advertisement advertisement, bello turji",6,2025-03-14
2,"price, dangote, 2f, fuel, nelfund",6,2025-03-14
-1,"des, le, travel, du, les",7,2025-03-15
0,"gaps, bridge, phc, bank, basic",3,2025-03-15
1,"idahosa, youths, opened, opportunities, ve",2,2025-03-15
4,"team, driver, safety, state, government",2,2025-03-15
6,"por las, por, cuba, 05, las",1,2025-03-15
8,"school, children, education, programme, food",1,2025-03-15
16,"60, 43, facebook share, share linkedin, linkedin whatsapp",1,2025-03-15
18,"une, la, le, président, je",2,2025-03-15
28,"slavery, britain, british, history, park",5,2025-03-15
38,"borno, containing, abandoned, recover, __may 2026",6,2025-03-15
-1,"entertainment, site, 2026, le, news",4,2025-03-16
-1,"morning, newspapers, things, 10, know",4,2025-03-27
-1,"prix, la, édition, des, la culture",1,2025-03-29
24,"marché, des, au, le marché, la",2,2025-03-29
27,"selected, water, project, world, abia",4,2025-03-29
29,"la, te, en, que, fin",2,2025-03-29
-1,"obaseki, godwin obaseki, godwin, women, __",2,2025-03-30
4,"security, state, corps, government, security corps",6,2025-03-30
5,"muslim, state, governor, ramadan, edo state",6,2025-03-30
15,"на, 05, 2026, за, се",2,2025-03-30
18,"senate, imasuen, recall, la, committee",4,2025-03-30
20,"des, groupes, opérations, les, armés",1,2025-03-30
37,"tendances, diplomatie, france, plus, en",1,2025-03-30
-1,"на, за, да, по, се",1,2025-04-01
-1,"ghana, 2026, news, thinking, targets",6,2025-04-05
11,"trauma, healthcare, centre, collaboration, seeks",2,2025-04-05
26,"circulation, document, javascript, presse, location href",1,2025-04-05
-1,"poverty, living, health, benin, people",4,2025-04-06
1,"ablakwa, ghana, foreign, views, minister",1,2025-04-06
14,"space, civil, critics, restrictions, talon",1,2025-04-13
-1,"2026, 02, com, 04, technologies",2,2025-04-16
10,"seba, france, activist, activist kemi, police said",2,2025-04-16
-1,"smuggled, records, customs, weeks, intercepts",3,2025-04-20
2,"asset, 2f, official, legal, 3a",1,2025-04-20
3,"land, offices, edogis, districts, md",4,2025-04-20
4,"certificates, data, files, 500, applications",6,2025-04-20
6,"rubio, ceasefire, ukraine, pope, russia",4,2025-04-20
10,"kano, ndlea, drug, intercepted, april",2,2025-04-20
11,"sister, police, kidnappers, women, rescued",19,2025-04-20
16,"details, news, __, international, don",7,2025-04-20
20,"sea, climate, coastal, erosion, defense",1,2025-04-20
26,"qaeda, al qaeda, al, jnim, attacks",5,2025-04-20
20,"ammunition, regional, cargo, ghana, crime",3,2025-04-21
-1,"press, journalists, okpebholo, freedom, la",9,2025-05-03
9,"95, firearms, suspected, recover, raids",9,2025-05-03
14,"la, la presse, le, les, presse",1,2025-05-03
33,"road, oyo, roads, lawmaker, sapele",2,2025-05-03
-1,"et, des, du, les, la",9,2025-05-04
0,"gaps, bridge, phc, bank, basic",2,2025-05-04
1,"industries, transition, finance, promoting, 2025 51",2,2025-05-04
3,"health, healthcare, phc, naija247news, primary",3,2025-05-04
9,"95, clashes, suspected, arrested, police",9,2025-05-04
30,"cultural, traditional, oba, identity, linguistic",3,2025-05-04
33,"oyo, lawmaker, roads, complete, road",1,2025-05-04
39,"frsc, patrol, 2020, imprisonment, magistrate",3,2025-05-04
26,"qatar, visite, président béninois, du, le",2,2025-05-17
-1,"rice, price, drag, 000, prices",11,2025-05-18
9,"police, command, arrest, recover, arrested",6,2025-05-18
13,"dahomey, museum, cultural, powerful, kingdom",3,2025-05-18
22,"advertisement, police, advertisement advertisement, mob, suspect",5,2025-05-18
26,"et, le, qatar, du, dans",1,2025-05-18
26,"qatar, doha, les, visite, le",6,2025-05-21
-1,"chairmen, court, elected, removal, aziegbemi",3,2025-05-22
3,"state, edo, okpebholo, security, commissioner",5,2025-05-22
14,"du, en, des, la, les",2,2025-05-22
16,"2005, 1961, nicholas, cut, jpg",3,2025-05-22
35,"itua, violence, investments, economic, income",5,2025-05-22
-1,"santé, le, et, des, une",1,2025-05-27
1,"les, la, cour, 26, nous",4,2025-05-27
-1,"oredo, pdp, force, mandate, party",13,2025-05-28
3,"parliament, children, state, edo, hon",1,2025-05-28
6,"del, il, che, una, 09",3,2025-05-28
14,"des, les, une, la, il",1,2025-05-28
-1,"fuel, africa, report, nigeria, dangote",5,2025-05-29
2,"armed groups, 2f, groups, armed, 2f 2fblueprint",2,2025-05-29
24,"le, accusations, ivoire, des, qui",4,2025-05-29
-1,"electricity, ondo, distribution, igwe, company",4,2025-05-30
3,"okpebholo, bring, joy, edo, state",7,2025-05-30
6,"catholic, soldiers, church, africa, families",1,2025-05-30
10,"house, enugu, native, village, dead",2,2025-05-30
24,"des, et, en, la, pour",2,2025-05-30
-1,"china, ondo, leadership, business, education",16,2025-05-31
15,"sponsored, senators, zamfara, 28, north",1,2025-05-31
6,"на, се, за, 09, 06",1,2025-06-01
3,"national guard, guard, exercise, caption, photo",1,2025-06-02
6,"на, се, за, 09, 06",2,2025-06-02
-1,"rights, human rights, lecture, laws, human",7,2025-06-03
1,"textile, africa, republic, hub, benin republic",1,2025-06-03
4,"council, igbinedion, community, age, aged",2,2025-06-03
6,"pope, africa, church, conference, later",8,2025-06-03
10,"chinese, arts, china, club, home",1,2025-06-03
13,"art, met, museum, new, dahomey",1,2025-06-03
14,"persistent, transparency, elections, electoral process, electoral",2,2025-06-03
17,"ekiti, development, authority, oyebanji, collaborate",1,2025-06-03
18,"des, le, la, marchés, dans",1,2025-06-03
20,"waters, guinea, incident, rules, nigerian",4,2025-06-03
25,"pos, dismissed, fraud, niger, police arrest",3,2025-06-03
27,"protesters, friends, soldiers, park, motor",4,2025-06-03
35,"women, economic, edo state, state, edo",1,2025-06-03
-1,"outbreak, 20in 20edo, edo 2f, lives, 20in",15,2025-06-04
0,"gaps, bridge, phc, bank, basic",11,2025-06-04
4,"incident, blocks, umar, kaduna state, usman",3,2025-06-04
20,"commercial, aircraft, technical, jet, commissions",1,2025-06-04
24,"caribbean, agreement, 2000, secretary general, lomé",4,2025-06-04
33,"oyo, lawmaker, roads, complete, border",17,2025-06-04
11,"egypt, allafrica, __ __, armed forces, __",7,2025-06-05
39,"allafrica, media, steve, west africa, __ __",9,2025-06-05
1,"communist, expert, replies, chinese, 06",1,2025-06-07
8,"la, nous, du, assemblée, le",8,2025-06-07
2,"2f, commissioner, 2f linkname, linkname, edo government",2,2025-06-08
8,"nous, la, du, assemblée, le",5,2025-06-08
10,"ndlea, drugs, airport, ndlea intercepts, intercepts",2,2025-06-09
16,"june, world, day, event, xinhua",1,2025-06-09
-1,"governors, south, apc, south south, 2027",2,2025-07-06
2,"vaccination, government, workers, 19, test",3,2025-07-06
3,"okpebholo, edo, various, indigenes, edo edo",3,2025-07-06
5,"oba, palace, council, traditional council, benin traditional",2,2025-07-06
8,"south, orbih, south south, states, governors",4,2025-07-06
9,"cultism, uniben, university, students, cult",1,2025-07-06
12,"attack, tourism, policemen, tourist, minister",6,2025-07-06
35,"protests, uploads, content uploads, jpg, 06",2,2025-07-06
-1,"jnim, south, south south, apc, region",9,2025-07-07
35,"lawyers, judicial, workers, jpg, state",1,2025-07-26
-1,"tanzania, felt, lived, mother, family",3,2025-07-27
1,"10th, praises, historic, win, achieved",1,2025-07-27
7,"focused, distribution company, electricity distribution, document, pledges",2,2025-07-27
10,"ndlea, drug, chinese, july, year old",1,2025-07-27
32,"upheld, gombe, option, consensus, guber",2,2025-07-27
35,"lawyers, judicial, workers, jpg, state",1,2025-07-27
-1,"largement, majeures, restent, jours, 100",1,2025-08-16
4,"ovia, voted, voters, federal constituency, ovia federal",1,2025-08-16
7,"unit, polling, apc, ovia, vote",5,2025-08-16
10,"terrorist, sons, group, terrorist group, police",4,2025-08-16
38,"radio, destroyed, ibadan, station, equipment",2,2025-08-16
40,"niger, ministry, summoned, accusations, affaires",1,2025-08-16
-1,"nscdc, personnel, okpella, company, chinese",8,2025-09-06
1,"passengers, kidnapped passengers, rescue kidnapped, rescue, kidnapped",3,2025-09-06
2,"2f linkname, linkname, 2f, 20kidnapped 20passengers, 20rescue",4,2025-09-06
4,"orhionmwon, iyamu, apc, defection, party",3,2025-09-06
10,"passengers, police rescue, kidnapped passengers, 16, kidnapped",1,2025-09-06
14,"la, le, présidentielle, du, que",3,2025-09-06
16,"של, הוא, את, ראש, תורה",1,2025-09-06
22,"edo police, police, rescued 16, rescued, victims",1,2025-09-06
34,"jonathan, president, 2027, tinubu, election",19,2025-09-06
37,"investors, paris, global, tinubu, __may 2026",2,2025-09-06
0,"gaps, bridge, phc, bank, basic",3,2025-09-12
-1,"era, el, la, le, des",1,2025-09-13
1,"editorial, terrorists, society, __may, __may 2026",2,2025-09-13
7,"party, apc, wards, pdp, members",10,2025-09-13
15,"chinese, power, ossiomo, paid, firm",2,2025-09-13
-1,"el, del, la, vaticano, en",1,2025-09-14
0,"gaps, bridge, phc, bank, basic",1,2025-09-14
1,"les, qui, et, pour, le",1,2025-09-20
4,"elections, order, court order, pdp, suit",4,2025-09-20
7,"elections, polls, stay, edo pdp, pdp",2,2025-09-20
-1,"en, años, ha, la, el",1,2025-09-21
6,"catholic, church, attendance, sept, pillar",1,2025-09-21
7,"elections, lg, pdp, rejects, results",3,2025-09-21
29,"mode, la, et, une, le",2,2025-09-21
5,"opinion, ago, forum, humanity, hours",1,2025-10-03
-1,"smuggled, records, customs, weeks, intercepts",2,2025-10-04
0,"gaps, bridge, phc, bank, basic",3,2025-10-04
2,"probe, 20police, 20by, attacked, begin",2,2025-10-04
3,"agricole, sacred, assurance, near, envisage",1,2025-10-04
5,"language, summit, chiefs, said, religion",7,2025-10-04
8,"palace, market, oba, inauguration, ogbegie",3,2025-10-04
12,"labour party, labour, party, julius, lp",5,2025-10-04
13,"restitution, heritage, cultural, artefacts, dahomey",2,2025-10-04
20,"et, la, les, ont, le",2,2025-10-04
30,"iyaloja, oba, installation, market, culture",3,2025-10-04
35,"news, iyaloja, market, nigeria news, news nigeria",4,2025-10-04
-1,"le, la, la présidente, des, présidente",1,2025-11-01
0,"gaps, bridge, phc, bank, basic",3,2025-11-01
1,"youth, fg, reforms, economy, young",3,2025-11-01
2,"year old, old, year, old woman, 42",2,2025-11-01
3,"residents, akwa ibom, ibom, akwa, offers",5,2025-11-01
7,"sustained, hails, effort, roads, 2c",3,2025-11-01
14,"la, le, que, et, les",3,2025-11-01
29,"united, stars, nasarawa, fc, win",1,2025-11-01
39,"le tribunal, il, radio, le, qu il",1,2025-11-01
10,"suspects, police, ikoedem, arrested, alleged",2,2025-11-08
14,"que nous, nous, site, que, le site",2,2025-11-08
28,"oba, governor, royal, benin, museum",13,2025-11-08
-1,"le, et, la, du, des",7,2025-11-09
4,"accident, crash, trace, bus, driver",2,2025-11-09
5,"aged, vincent, crime, police, custody",1,2025-11-09
6,"las, los, el, la, del",4,2025-11-09
7,"inec, election, anambra, soludo, confirms",5,2025-11-09
10,"command, operatives, ikoedem, police, william",1,2025-11-09
12,"oyebanji, ekiti, warns, violence, election",1,2025-11-09
15,"le, le bénin, frontière, la, les",3,2025-11-09
18,"corruption, mr, __, anti corruption, integrity",3,2025-11-09
19,"soludo, anambra, election, chukwuma, votes",15,2025-11-09
23,"mowaa, thugs, premises, event, museum",12,2025-11-09
27,"site, politics, votes, soludo, 2026",1,2025-11-09
38,"borno, containing, abandoned, recover, __may 2026",9,2025-11-09
-1,"external, page, link, mowaa, share",9,2025-11-10
14,"la, une, les, le, que",2,2025-11-10
23,"museum, mowaa, guests, art, opening",5,2025-11-10
-1,"okpebholo, governor, anniversary, governance, said",3,2025-11-13
1,"et, le, en, qui, une",1,2025-11-13
4,"government, court, appointment, traditional, prof",3,2025-11-13
6,"je, ai, elle, vous, la",1,2025-11-13
20,"aviation, court, university, students, director",3,2025-11-13
24,"road safety, unveils, safety, secretariat, association",1,2025-11-13
25,"terrorism, travel, criet, journalist, niger",1,2025-11-13
32,"upheld, gombe, option, consensus, guber",4,2025-11-13
36,"jeff, walks, red, , ",1,2025-11-13
14,"el, los, la, que, una",4,2025-11-16
-1,"jnim, region, islamic, extremist, al",2,2025-11-17
14,"ha, el, la, que, los",1,2025-11-17
17,"oshiomhole, okpebholo, past administration, pdp, abandoned",5,2025-11-17
35,"oshiomhole, okpebholo, edo, governor, state",1,2025-11-17
37,"van, extra, en, log, 2026",1,2025-11-17
-1,"seated, courts, supreme, supreme court, court",2,2025-11-22
0,"gaps, bridge, phc, bank, basic",10,2025-11-22
1,"competition, mining, young, technology, electronics",2,2025-11-22
2,"vows, crackdown, job, commissioner, 2f",7,2025-11-22
3,"land, centre, health, community, punch",7,2025-11-22
18,"la, le, la cour, cour, que",1,2025-11-22
23,"mowaa, museum, tourism, nigeria, thugs",5,2025-11-22
28,"benin, oba, museum, oba benin, benin kingdom",3,2025-11-22
-1,"et, les, la, le, la cérémonie",4,2025-11-30
6,"edo south, suddenly, osagie, projects, conscience",3,2025-11-30
17,"adc, edo central, hunger, insecurity, offices",1,2025-11-30
30,"ondo, youth, king, community, new",15,2025-11-30
36,"jeff, walks, red, , ",2,2025-11-30
-1,"la, et, les, des, politique",3,2025-12-01
1,"new york, york, print, artist, search",3,2025-12-01
41,"ou, femmes, mille, cinq, par",1,2025-12-01
-1,"pdp, obaseki, afegbua, platform, dan",2,2025-12-02
14,"aziz, le, maire, la, réseau",1,2025-12-02
